Feature,rank_mi,rank_RFE,rank_embed,value_min,value_med,value_mean,value_harmo
M22632,1959,1596,373,373,1596.0,1309.3333333333333,785.752507928551
R54467,1960,1586,377,377,1586.0,1307.6666666666667,790.8804108154898
M75883,1961,1584,378,378,1584.0,1307.6666666666667,792.2340605555173
R60217,1962,1502,1665,1502,1665.0,1709.6666666666667,1689.128740152601
H16597,1963,1500,1666,1500,1666.0,1709.6666666666667,1688.8743195034854
X79683_,1964,1496,1668,1496,1668.0,1709.3333333333333,1688.110783904883
T61090,1965,1414,1647,1414,1647.0,1675.3333333333333,1645.3827518003654
M96824,1966,1408,1650,1408,1650.0,1674.6666666666667,1643.8942761973638
H06489,1967,1392,1689,1392,1689.0,1682.6666666666667,1649.397906059801
X64364,1968,1386,1722,1386,1722.0,1692.0,1657.1373025516402
R54401,1969,1380,1726,1380,1726.0,1691.6666666666667,1655.7351598581904
R56052,1970,1378,1727,1378,1727.0,1691.6666666666667,1655.3163338612273
L13042,1971,1374,1729,1374,1729.0,1691.3333333333333,1654.2344432342375
Y00815,1972,1372,1730,1372,1730.0,1691.3333333333333,1653.8064405495704
H26965,1973,1370,1731,1370,1731.0,1691.3333333333333,1653.3752470481145
L38503,1974,1368,1732,1368,1732.0,1691.3333333333333,1652.940856490971
U09466,1975,1358,1737,1358,1737.0,1690.0,1649.7917008746178
D17530,1976,1356,1738,1356,1738.0,1690.0,1649.3394446023785
U09848,1977,1352,1740,1352,1740.0,1689.6666666666667,1648.1936134110713
U24077,1978,1346,1743,1346,1743.0,1689.0,1646.3374280402834
T63539,1979,1338,1747,1338,1747.0,1688.0,1643.7458085984567
X79198,1980,1330,1723,1330,1723.0,1677.6666666666667,1632.8190026305908
D31767,1981,1412,1648,1412,1648.0,1680.3333333333333,1648.5264902067463
M25160,1982,1418,1645,1418,1645.0,1681.6666666666667,1650.471669104547
M34192_,1983,1486,1673,1486,1673.0,1714.0,1690.1764806651142
T89115,1984,1422,1643,1422,1643.0,1683.0,1652.064376892084
D38549,1985,1484,1674,1484,1674.0,1714.3333333333333,1690.1367029649557
L08044,1986,1480,1676,1480,1676.0,1714.0,1689.3232510651217
M10065,1987,1478,1677,1478,1677.0,1714.0,1689.0330567581404
D78134,1988,1476,1678,1476,1678.0,1714.0,1688.739961220458
T40568,1989,1474,1679,1474,1679.0,1714.0,1688.443959025232
R14852,1990,1472,1680,1472,1680.0,1714.0,1688.145044731883
J04026,1991,1460,1686,1460,1686.0,1712.3333333333333,1685.0983777420142
H13281_,1992,1456,1688,1456,1688.0,1712.0,1684.221607380063
T62191,1993,1444,1632,1444,1632.0,1689.6666666666667,1660.1900621603954
H28373,1994,1442,1633,1442,1633.0,1689.6666666666667,1659.8835883943318
R46731,1995,1440,1634,1440,1634.0,1689.6666666666667,1659.5741250755693
R48936,1996,1438,1635,1438,1635.0,1689.6666666666667,1659.2616665162022
D43949,1997,1436,1636,1436,1636.0,1689.6666666666667,1658.946207013607
T51288,1998,1430,1639,1430,1639.0,1689.0,1657.5232832194697
R78927,1999,1428,1640,1428,1640.0,1689.0,1657.1964017778719
M16029_,2000,1506,1004,1004,1506.0,1503.3333333333333,1388.8718106363358
