Feature,value_MI
Jitter->F0_abs_dif,0.2471220337085198171
Jitter->F0_TKEO_prc5,0.2159629565098533099
Jitter->F0_TKEO_prc25,0.2136084295259312871
entropy_shannon_5_coef,0.2070833897803643353
entropy_log_4_coef,0.2011992950764724952
det_TKEO_mean_8_coef,0.1885234094596401899
Jitter->F0_dif_percent,0.1880421674153680556
det_TKEO_mean_6_coef,0.1867102314609894176
Jitter->pitch_PQ5_classical_Schoentgen,0.1860402514602506052
det_TKEO_mean_5_coef,0.1848688816492241038
entropy_log_2_coef,0.1822146580894594692
F0_series_F0_expTitze,0.1762260972305078610
det_TKEO_std_6_coef,0.1739625051205782036
entropy_log3_3_coef,0.1706337754727336176
entropy_log_3_coef,0.1687945459463926490
MFCC_2nd coef,0.1643886099690126112
Jitter->pitch_percent,0.1612224373218282825
MFCC_1st coef,0.1596093012539818723
entropy_log_5_coef,0.1593875584998949435
Jitter->F0_TKEO_prc95,0.1581845286896010894
Jitter->F0_PQ5_classical_Schoentgen,0.1565452066810382181
entropy_log3_1_coef,0.1556387838435677740
entropy_shannon_3_coef,0.1473758566680822835
DFA,0.1467553365983882419
MFCC_3rd coef,0.1459970374313190877
Jitter->F0_abs0th_perturb,0.1436361200427669349
IMF->NSR_SEO,0.1428720345607323861
det_TKEO_std_9_coef,0.1427699675297890991
det_TKEO_mean3_3_coef,0.1425407044812789792
det_TKEO_mean_3_coef,0.1415484872996917165
entropy_log_6_coef,0.1398052617397744779
Ed_3_coef,0.1372493065915372235
std_F0_series_F0_expTitze,0.1371697222388263970
GNE->NSR_SEO,0.1355278997701203636
entropy_shannon_2_coef,0.1338649463214527380
Jitter->pitch_TKEO_prc95,0.1336386667739759559
Ed2_5_coef,0.1323077710457964962
entropy_log_8_coef,0.1318296656457011995
Jitter->F0_TKEO_mean,0.1311149638105510995
det_TKEO_mean3_6_coef,0.1271178631509213286
det_TKEO_mean_4_coef,0.1262778646992477327
entropy_log3_9_coef,0.1244479937831775018
8th delta-delta,0.1243024527557525793
VFER->SNR_TKEO1,0.1242280050234370048
IMF->NSR_entropy,0.1211679171028365865
det_TKEO_std3_6_coef,0.1203666332468982247
entropy_log_9_coef,0.1189765174572343653
delta delta log energy,0.1175073070471466252
det_TKEO_std_5_coef,0.1173927132502183834
Log energy,0.1105614842281352761
PPE,0.1088091409861167147
Jitter->F0_CV,0.1088084887421520985
Shimmer->Ampl_TKEO_prc75,0.1067438908131324027
entropy_log_1_coef,0.1048603983118729932
entropy_shannon3_4_coef,0.1046284372437966681
VFER->SNR_SEO,0.1046006368046861201
VFER->SNR_TKEO,0.1044942034888101112
Shimmer->Ampl_PQ5_classical_Schoentgen,0.1016908389980750727
det_TKEO_std_8_coef,0.1016356723085047875
Jitter->pitch_TKEO_std,0.1013383175504167788
Jitter->pitch_FM,0.0999300159495377649
Jitter->F0_FM,0.0999300159495377649
Jitter->pitch_TKEO_prc25,0.0982199052587231503
entropy_log4_6_coef,0.0977646887982164259
entropy_shannon3_10_coef,0.0956587662208947531
entropy_shannon3_3_coef,0.0950656363523121328
entropy_log_10_coef,0.0950135956661768422
NHR->NHR_Praat_mean,0.0925739394209001976
entropy_log_7_coef,0.0920891876513163510
entropy_shannon4_8_coef,0.0911154371092821602
entropy_log3_7_coef,0.0898132463873997366
Jitter->pitch_CV,0.0892555676304258583
entropy_shannon_8_coef,0.0887151207058651803
entropy_shannon3_6_coef,0.0886262218378324196
det_TKEO_mean_9_coef,0.0884788089290908797
MFCC_11th coef,0.0882082408783324556
entropy_shannon3_1_coef,0.0880468494566220006
Jitter->F0_TKEO_prc75,0.0879227588575295371
NHR->NHR_Praat_std,0.0875146582153181196
Jitter->F0range_5_95_perc,0.0861107794052904385
prc95_5_F0_series_F0_expTitze,0.0861107794052904385
Ed_6_coef,0.0855872992289012924
MFCC_5th coef,0.0852745453851133650
MFCC_0th coef,0.0835065534854300129
entropy_log2_8_coef,0.0832698141842942441
entropy_log4_9_coef,0.0813303372798312996
4th delta-delta,0.0803589725773838914
entropy_shannon_10_coef,0.0794761333082656396
entropy_shannon_6_coef,0.0794535045108477611
entropy_shannon2_8_coef,0.0794107048840082541
det_TKEO_std3_3_coef,0.0792447624949812468
entropy_log4_1_coef,0.0788441109840809506
Ed2_3_coef,0.0788347965397819817
Jitter->pitch_TKEO_mean,0.0786354433982670020
Jitter->pitch_abs,0.0786292932035084213
entropy_log2_9_coef,0.0780053035626406821
entropy_shannon4_9_coef,0.0773240041068314898
Ed2_6_coef,0.0764556201955652881
entropy_shannon4_10_coef,0.0763486057003552876
IMF->SNR_entropy,0.0758421030320781675
entropy_log3_4_coef,0.0755377086730175673
Ed_5_coef,0.0751252933225221575
det_TKEO_mean_10_coef,0.0744495111274807719
Jitter->pitch_PQ5_generalised_Schoentgen,0.0743974196660670550
det_TKEO_std_10_coef,0.0734417393164779053
entropy_shannon3_5_coef,0.0730756974307840146
Jitter->pitch_TKEO_prc5,0.0728893834996300338
entropy_log4_8_coef,0.0719120435011266768
entropy_shannon2_4_coef,0.0718368839371714696
entropy_shannon2_1_coef,0.0717869779348843107
entropy_log4_10_coef,0.0714007386597566018
Ed_1_coef,0.0711817848195530622
entropy_log2_6_coef,0.0710732144876944361
Shimmer->Ampl_PQ3_classical_Baken,0.0708723163606113093
det_TKEO_mean4_3_coef,0.0681791839150922563
Ed2_8_coef,0.0666492664422555503
entropy_log2_10_coef,0.0665105560910026483
det_TKEO_std3_9_coef,0.0664373636130286549
det_TKEO_mean4_2_coef,0.0661893307347629634
