Feature,value_boruta
entropy_shannon3_4_coef,189
entropy_log4_5_coef,189
entropy_log4_4_coef,189
entropy_log4_3_coef,189
entropy_shannon4_10_coef,189
entropy_shannon4_9_coef,189
entropy_shannon3_6_coef,189
entropy_shannon4_8_coef,189
entropy_shannon3_7_coef,189
entropy_shannon3_8_coef,189
entropy_shannon4_7_coef,189
entropy_shannon4_6_coef,189
entropy_shannon4_5_coef,189
entropy_shannon4_4_coef,189
entropy_shannon3_9_coef,189
entropy_shannon4_3_coef,189
entropy_shannon4_2_coef,189
entropy_shannon3_2_coef,189
det_TKEO_mean2_8_coef,189
entropy_log_7_coef,189
det_TKEO_mean2_6_coef,189
Shimmer->Ampl_TKEO_std,189
Shimmer->Ampl_TKEO_prc5,189
Shimmer->Ampl_TKEO_prc95,189
OQ->prc5_95,189
OQ->std_cycle_open,189
OQ->std_cycle_closed,189
PPE,189
GNE->SNR_TKEO,189
GNE->SNR_SEO,189
GNE->NSR_TKEO,189
Shimmer->Ampl_TKEO_mean,189
VFER->mean,189
VFER->NSR_TKEO1,189
VFER->NSR_TKEO,189
IMF->SNR_TKEO,189
IMF->NSR_TKEO,189
MFCC_5th coef,189
MFCC_6th coef,189
MFCC_9th coef,189
MFCC_10th coef,189
MFCC_11th coef,189
delta log energy,189
VFER->std,189
Shimmer->Ampl_dB,189
Shimmer->Ampl_PQ11_generalised_Schoentgen,189
Shimmer->Ampl_PQ11_classical_Schoentgen,189
Jitter->F0_PQ5_classical_Baken,189
Jitter->F0_PQ5_generalised_Schoentgen,189
Jitter->F0_TKEO_std,189
Jitter->F0_TKEO_prc75,189
Jitter->F0_FM,189
Jitter->F0range_5_95_perc,189
Jitter->pitch_PQ5_classical_Baken,189
Jitter->pitch_PQ5_generalised_Schoentgen,189
Jitter->pitch_abs0th_perturb,189
Jitter->pitch_CV,189
Jitter->pitch_TKEO_mean,189
Jitter->pitch_TKEO_std,189
Jitter->pitch_TKEO_prc5,189
Jitter->pitch_TKEO_prc25,189
Jitter->pitch_TKEO_prc75,189
Jitter->pitch_TKEO_prc95,189
Jitter->pitch_FM,189
Jitter->pitch_range_5_95_perc,189
Shimmer->Ampl_abs_dif,189
Shimmer->Ampl_PQ3_classical_Baken,189
Shimmer->Ampl_PQ3_generalised_Schoentgen,189
Shimmer->Ampl_PQ5_classical_Baken,189
Shimmer->Ampl_PQ5_generalised_Schoentgen,189
4th delta,189
det_TKEO_mean2_7_coef,189
5th delta,189
7th delta,189
det_TKEO_mean_1_coef,189
det_TKEO_mean_2_coef,189
det_TKEO_mean_3_coef,189
det_TKEO_mean_4_coef,189
det_TKEO_std_1_coef,189
det_TKEO_std_2_coef,189
entropy_shannon2_2_coef,189
entropy_shannon2_6_coef,189
entropy_shannon2_8_coef,189
entropy_shannon2_9_coef,189
entropy_log_10_coef,189
entropy_log2_1_coef,189
entropy_log2_5_coef,189
entropy_log2_6_coef,189
entropy_log2_7_coef,189
entropy_log2_9_coef,189
entropy_log2_10_coef,189
det_TKEO_mean2_1_coef,189
det_TKEO_mean2_2_coef,189
det_TKEO_mean2_3_coef,189
det_TKEO_mean2_4_coef,189
det_TKEO_mean2_5_coef,189
entropy_log2_4_coef,189
entropy_log_9_coef,189
Age,189
entropy_log_3_coef,189
8th delta,189
9th delta,189
10th delta,189
11th delta,189
delta delta log energy,189
1st delta delta,189
3rd delta-delta,189
4th delta-delta,189
5th delta-delta,189
6th delta-delta,189
7th delta-delta,189
8th delta-delta,189
11th delta-delta,189
Data_length,189
Ea,189
Ed_1_coef,189
Ed_3_coef,189
Ed_4_coef,189
Ed_8_coef,189
entropy_shannon_3_coef,189
entropy_shannon_4_coef,189
entropy_shannon_6_coef,189
entropy_log_1_coef,189
6th delta,189
Gender,189
