Feature,rank_mi,rank_RFE,rank_embed,value_min,value_med,value_mean,value_harmo
std_5th_delta_delta,298,357,424,298,357.0,359.6666666666667,352.3063737614096
tqwt_kurtosisValue_dec_5,299,118,92,92,118.0,169.66666666666666,132.22485946283572
det_LT_TKEO_std_2_coef,300,617,733,300,617.0,550.0,474.8086055472021
tqwt_medianValue_dec_9,301,445,425,301,425.0,390.3333333333333,378.6735440525949
tqwt_stdValue_dec_5,302,700,741,302,700.0,581.0,492.6628241228999
tqwt_TKEO_std_dec_2,303,530,648,303,530.0,493.6666666666667,445.7432171953842
tqwt_meanValue_dec_34,304,72,67,67,72.0,147.66666666666666,93.44706881903144
tqwt_skewnessValue_dec_12,305,284,272,272,284.0,287.0,286.3610287325587
app_LT_TKEO_mean_3_coef,306,431,193,193,306.0,310.0,278.5642931925713
app_LT_TKEO_mean_5_coef,307,669,596,307,596.0,524.0,466.5666394351774
tqwt_medianValue_dec_17,308,483,502,308,483.0,431.0,410.4428428531124
tqwt_meanValue_dec_12,309,456,468,309,456.0,411.0,396.51172523270077
tqwt_entropy_log_dec_33,310,3,68,3,68.0,127.0,8.540560007202664
tqwt_TKEO_mean_dec_26,311,574,698,311,574.0,527.6666666666666,469.4645309729178
tqwt_medianValue_dec_5,312,313,355,312,313.0,326.6666666666667,325.4884189640442
app_LT_TKEO_std_1_coef,313,255,55,55,255.0,207.66666666666666,118.58516050605556
tqwt_meanValue_dec_21,314,163,238,163,238.0,238.33333333333334,221.87111737134808
std_MFCC_10th_coef,315,93,120,93,120.0,176.0,134.767107533065
tqwt_minValue_dec_18,316,639,646,316,639.0,533.6666666666666,477.89802821992686
tqwt_energy_dec_28,317,453,469,317,453.0,413.0,400.3055231400488
tqwt_energy_dec_1,318,83,65,65,83.0,155.33333333333334,98.11147753483672
apq5Shimmer,319,210,121,121,210.0,216.66666666666666,185.63019565034847
VFER_NSR_SEO,320,257,334,257,320.0,303.6666666666667,299.6984266688003
